SEED;WT_NEWKER_SIZE;NEWKER_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;top_coreker_ratio;notop_coreker_ratio;top_notop_ratio
actor;7.5448;3.50686;254.51884;509.56876;74.89268452854971;85.0970220952381;170.4016728809524
amusement_park;4.8332;1.91668;119.2719;239.54364;53.36605031041513;70.66350627218671;141.92149264824494
band;4.4393;1.71968;123.44452;247.88822;60.69362149485774;83.07155157936506;166.81863010317463
championship;4.39382;1.69776;127.7702;256.5315;63.72022970479245;87.6935419920635;176.07579092063494
chemical_element;4.70754;1.9023;44.20546;86.12996;19.72000049749848;26.703139198948797;53.009259879864544
company;4.5918;1.79598;192.00712;385.01408;99.83208203116455;142.14953345238095;285.043745984127
comune;12.80386;5.90196;313.90274;628.80542;49.42230044116323;53.59913107936509;107.3690310238095
dialect;4.19346;1.60452;134.46642;257.59066;68.87625806600624;100.4589976749829;197.04430546491233
film;7.85422;3.43534;39.0997;79.18294;12.120892722689767;15.132189956031729;30.68425268573836
scientist;8.28902;3.7602;234.20552;469.17956;67.72633687722744;83.66494704567654;167.68911626334778
sculpture;9.86856;4.43454;70.47124;141.94196;18.737695689542583;22.22826365750435;44.789433042235366
university;3.79548;1.39822;139.5098;280.01864;80.23329944692011;115.58035699206349;231.99049166666668
vehicle;3.68278;1.34232;61.98046;124.85146;37.570237156778234;54.91328815517403;110.69873309217563
video_game;6.58122;2.79474;152.82004;306.63182;61.93661789170386;83.99180435064936;168.53540452713955
