;CAN_CORE_RATIO;CAN_CORE_RATIO;CAN_CORE_RATIO;WT_CAN_CORE_RATIO;WT_CAN_CORE_RATIO;WT_CAN_CORE_RATIO
;mean;min;max;mean;min;max
SEED;;;;;;
actor;254.35804;244.29615;429.39338;508.71687;488.59231;858.79044
amusement_park;150.20051;97.97674;423.67897;300.40933;195.95349;847.36162
band;146.78535;119.32558;622.90066;293.57603;238.65116;1245.80795
championship;171.60230;122.31343;547.66667;343.19416;229.75794;1095.34127
chemical_element;178.99332;36.00000;1215.55814;351.96578;57.90667;2431.13953
company;270.88587;163.00610;633.63021;541.77681;326.01829;1267.26562
comune;305.38972;302.26899;394.16561;610.78262;604.54114;788.33439
dialect;123.39631;99.87640;270.80992;238.93247;184.52066;541.62810
film;108.33817;25.93023;853.33333;216.69975;51.88372;1706.69231
scientist;278.59942;163.00000;537.23457;557.20055;326.00621;1074.47531
sculpture;200.47667;17.10526;1050.78261;400.96770;34.26316;2101.60870
university;159.59354;133.30345;502.38849;319.19418;266.60690;1004.78417
vehicle;162.07615;58.00000;610.93333;323.80483;99.17742;1221.88333
video_game;158.17706;141.00000;389.90728;316.36037;282.00617;779.82119
