SEED,mean,min,max
actor,67.10680642857143,26.1,256.0
amusement_park,60.66553416795108,3.0892857142857144,138.0
band,67.71826456349207,18.125,130.0
championship,71.80540198412699,15.222222222222221,128.0
chemical_element,24.45274502282891,3.5,110.0
company,136.8603190079365,23.22222222222222,263.0
comune,52.13910206349206,35.22222222222222,155.0
dialect,82.89623687115517,10.863636363636363,122.0
film,12.022482787479264,3.2857142857142856,231.0
scientist,59.73608948162948,14.777777777777779,214.0
sculpture,28.540789332927133,3.7142857142857144,268.0
university,94.76723496031747,16.666666666666668,200.0
vehicle,49.51233771713151,7.2105263157894735,167.0
video_game,58.7506908008658,12.538461538461538,153.0
